iteration,loss,pure_loss,dist,x1,x2,x3,x4,x5,x6
0,0.8048316591170573,0.8206989750797419,3.1883676129535976,-0.33191198118970355,0.8812979737686328,-1.9995425007306205,-0.7906697094726407,-1.4129764367315478,-1.6306456209248088
1,1.2074074981230094,1.0543444936062005,4.177525667846053,-1.9602045316160912,-1.0594761264462609,1.628991371411646,1.9004728861447266,1.85644352434909,1.6658441100631984
2,0.8338753306247003,0.7865126813976563,3.1582903232887896,-0.2827891912893814,0.6679733483314783,-1.8717570155530294,-1.0992253587265668,-1.424548017487259,-1.6454579534955989
3,1.184261715013585,1.0064865605415987,4.336165345053685,1.6379489821327402,2.0,-2.0,0.3456197789115336,-2.0,-2.0
4,0.7577162928997598,0.9302760591708701,3.187767977524715,-1.2552181461089404,0.7589011397450407,-2.0,-0.7678197095285599,-1.145998376813513,-1.4517237196880115
5,1.094340150831177,1.0508625982813578,4.134960263294467,-1.9918539305062377,0.9597157735567583,-2.0,-2.0,-0.4575586656784534,-2.0
6,0.9528097927544293,0.8322832880903631,3.0530404327467364,-0.7971664168307717,0.5584632782711094,-1.9800445573015855,-0.7419146352843611,-1.4111039490252155,-1.3825600257431634
7,0.9108477600056749,0.9113012797750241,3.3284904532343473,-0.9200262662762928,1.431256839497744,-1.9348262346517995,-0.6026570683299606,-0.9578630826554411,-1.777541684632379
8,1.109494852458138,1.0809463606416534,3.2966956783636983,-1.873810995574614,0.8106919612807069,-2.0,-0.14090027657877346,-1.1514864303848231,-1.1636319887404447
9,0.9535923161798955,0.886741105240008,3.3442034045887206,-0.8755493147466771,0.900155564452604,-2.0,-1.162387783356802,-1.1113996825373276,-1.7379514248831047
10,0.7196752129461921,0.7339820541467627,2.9417305515411414,-0.15905191816807407,1.0187733152946263,-1.621769635902052,-0.721547480858387,-1.2896940243704216,-1.6662844480092436
11,0.6286843114721015,0.7303899390924182,2.902814818909316,0.23429377992935496,0.9907587198689813,-1.6467070260254344,-0.7168166059318464,-1.203568512142836,-1.6479654781113033
12,0.5691101302033678,0.6300551326606104,2.550253562521729,0.42954376306726916,0.8872316732441159,-1.275743444328894,-0.7275776624869645,-0.9869624658357175,-1.5495547254261661
13,0.465777309400375,0.608436432499981,2.2575230757430824,0.7313986326038346,0.6332149347222233,-1.2336167745033024,-0.7503108166284587,-0.31419089746739726,-1.4060628493227154
14,0.807250087886424,0.8058368708999926,2.233571647720138,1.2789319798032612,0.27901856190996366,0.02965196041514906,-1.305819057547747,-0.0657164285485452,-1.2509846681126566
15,0.6913814945464951,0.7031149654389779,2.525906226763842,0.7977740977568359,0.18224070767715705,-1.694003957693381,-0.213123153736561,0.2005209683040854,-1.659899856542219
16,0.7572833402720803,0.7229100364841394,2.3194631154456706,0.7879564740822365,1.132728122581034,-1.4644308056772473,-0.9752829785256876,-0.20979755373941167,-0.5798372640710343
17,0.6402891608104396,0.5270583114826766,2.3512852041319463,0.42801894299017995,0.7913922953145853,-0.6567619443677657,-0.4242749873390741,-0.32816857569973257,-2.0
18,0.8109525424475454,0.8656336289595834,3.0898010112953016,1.1710747761783602,0.2492144047429714,-1.4285348221908203,-1.2746641773438623,-0.6692277902578563,-2.0
19,0.4235449702184611,0.34150429365134727,1.6019889196717851,0.5076646016923214,0.29361025677902797,-0.8336746396123771,-0.1115188683755588,-0.7167146595717071,-1.0006539871865414
20,0.43212291729468677,0.39277294764053583,1.5857845845737693,0.6898615342216332,-0.3625511527956511,-0.38341937140634696,0.5121168912100984,-1.0333107344974655,-0.6560146913139184
21,0.46182378553638104,0.4794785850494421,2.182750198103241,0.4238854711743487,0.03500752693616249,0.659836857038842,0.24183240716373522,-2.0,-0.2993767135956773
22,0.9769325452959363,0.9751679160786518,3.0957388912039705,1.4416991931185392,-1.6980617693329296,0.046497750248541525,0.6054161432945264,-2.0,0.5029892635675908
23,0.4507299284029865,0.3638778526260865,1.7697795493265371,0.24949409753754193,0.698079969005545,0.4818894859737193,0.9202817912025738,-0.9363048618343934,-0.7916778758913436
24,0.746577631740596,0.6157785745841888,2.8872731072118514,-0.08084239050970377,-0.301297932500733,0.9713261215550326,0.7817540577340125,-1.7266209644384656,-1.924369055913934
25,0.5521589098594336,0.37992989844516856,1.6175587728432046,0.3433859327108517,0.9621344431139272,0.09250943209521667,0.2602671035650048,-1.1802518059236204,0.3218516934575639
26,0.8058293158968184,0.9391378112208595,3.468280144426529,0.8520734101461627,1.6078027694368915,2.0,0.8428184813979067,-2.0,-0.08697888220931294
27,0.1475251612815687,0.08807222285869354,0.8968379711414584,-0.18511727870502903,-0.027980488317612906,0.10383787147401913,0.02375131407291109,-0.7134585465885301,-0.4988962875255909
28,0.2442037678014891,0.2864232345525246,1.1160366432228765,-0.6320489712676576,-0.343788670010553,0.5104231930970098,-0.29635239504745736,-0.5718779153389493,-0.22904215584455878
29,0.04728817235536069,0.12852295353335785,0.7593894099966928,-0.3971561659791125,-0.31077945165009524,0.025901131585698067,0.3379673412590716,0.10655765572934062,-0.4428408990848576
30,0.4083830657639552,0.4552289844060431,1.580860771805788,-0.6055397834421812,-1.0717338098279634,-0.04518788559046372,0.23589912511814992,0.5468143807388244,-0.7919170929815809
31,0.09815771619767083,0.17321383437958415,0.8553887212706179,-0.4668570055910721,0.3602087046094704,0.22725966582977497,0.31584180013107055,0.4474574928084305,-0.17989686944909633
32,0.2168456720281908,0.22304225586027493,1.0002735324489123,-0.5533343067206673,-0.04051311780635136,-0.29887241106354145,0.7440968362107974,0.05643435847239653,0.21572509228031045
