iteration,loss,pure_loss,dist,x,y
0,1788.520978727158,1788.520978727158,4.811646723543894,1.2553300705386121,5.804867401632373
1,1069383.3865961584,1069383.3865961584,10.631323850597054,9.931820682898588,-4.766075450843388
2,1788.5217882677757,1788.5217882677757,4.811647013026117,1.2553298102244632,5.80486770535609
3,1788.5226158688586,1788.5226158688586,4.811647322901936,1.255329549547251,5.804868029521453
4,1788.5234394343436,1788.5234394343436,4.811647627331153,1.2553292886036163,5.80486834824667
5,1788.5242671987162,1788.5242671987162,4.8116479322473165,1.2553290259134613,5.804868667552315
6,1788.5250965730058,1788.5250965730058,4.811648243645204,1.2553287650130756,5.804868993253706
7,1788.5259299823388,1788.5259299823388,4.811648546765405,1.2553284990175007,5.8048693109364695
8,1788.5267647903534,1788.5267647903534,4.8116488551564816,1.2553282344360666,5.804869633822383
9,1788.527599916822,1788.527599916822,4.811649168635402,1.255327971695535,5.804869961705478
10,1788.528449574295,1788.528449574295,4.811649477231245,1.2553277003446466,5.804870285156138
11,1788.5292984436246,1788.5292984436246,4.811649790506176,1.2553274311853988,5.804870613176009
12,1788.530142021674,1788.530142021674,4.811650107204861,1.255327165804479,5.804870944423669
13,1788.5310058155858,1788.5310058155858,4.811650420772304,1.2553268898754082,5.804871273096174
14,1788.5318689296569,1788.5318689296569,4.8116507394279715,1.255326616247869,5.804871606741761
15,1788.532735241994,1788.532735241994,4.811651058446574,1.2553263412869127,5.804871940821636
16,1788.5336055192531,1788.5336055192531,4.811651380423895,1.2553260656530547,5.804872277900143
17,1788.5344883406158,1788.5344883406158,4.811651706256735,1.2553257857394042,5.804872619067014
18,1788.5353702429704,1788.5353702429704,4.811652029926514,1.2553255054046044,5.804872958090133
19,1788.536257089648,1788.536257089648,4.81165235828771,1.2553252246220907,5.804873301835061
20,1788.5371534190551,1788.5371534190551,4.811652689077138,1.2553249404142601,5.804873648193645
21,1788.5380480242375,1788.5380480242375,4.811653020261715,1.255324657156165,5.804873994897449
22,1788.5389672299343,1788.5389672299343,4.811653355914926,1.255324364296638,5.804874346586379
23,1788.539879752157,1788.539879752157,4.8116536949264015,1.2553240758320294,5.804874701404753
24,1788.5408125926192,1788.5408125926192,4.811654039969906,1.2553237803520512,5.804875062636432
25,1788.5417238891714,1788.5417238891714,4.811654376717858,1.2553234915685323,5.804875415204995
26,1788.5426721261579,1788.5426721261579,4.811654725006822,1.2553231902547433,5.804875779996671
27,1788.543617691929,1788.543617691929,4.811655074200161,1.2553228905264557,5.804876145609725
28,1788.544571872458,1788.544571872458,4.81165542635029,1.255322587979724,5.804876514333488
29,1788.5455309276877,1788.5455309276877,4.811655781271356,1.2553222842670886,5.8048768858940285
30,1788.5465088045748,1788.5465088045748,4.8116561394112844,1.2553219731303313,5.8048772610724555
31,1788.5474866324878,1788.5474866324878,4.811656501186667,1.2553216634365425,5.804877639814766
32,1788.5484774651602,1788.5484774651602,4.8116568673415445,1.2553213494552047,5.804878023170559
33,1788.5494837263548,1788.5494837263548,4.811657239767306,1.2553210308072753,5.804878413054032
34,1788.5504874856576,1788.5504874856576,4.811657608986465,1.2553207120606276,5.804878799731602
35,1788.5515076348613,1788.5515076348613,4.811657985400506,1.2553203885649395,5.804879193866533
36,1788.5525371666092,1788.5525371666092,4.811658365176439,1.2553200620549338,5.804879591528248
37,1788.5535826513496,1788.5535826513496,4.8116587501507,1.2553197302173853,5.804879994678693
38,1788.5546284712755,1788.5546284712755,4.8116591385083645,1.2553193995471412,5.804880401155261
39,1788.5557003872066,1788.5557003872066,4.811659526117991,1.2553190565475596,5.8048808075378595
