iteration,loss,pure_loss,dist,x1,x2,x3,x4,x5,x6
0,0.8206989750797419,0.8206989750797419,3.1883676129535976,-0.33191198118970355,0.8812979737686328,-1.9995425007306205,-0.7906697094726407,-1.4129764367315478,-1.6306456209248088
1,1.0120749130301083,1.0120749130301083,4.898979485566356,2.0,-2.0,2.0,2.0,2.0,2.0
2,0.8413826881209492,0.8413826881209492,3.322634564787465,-0.35415609005453996,0.9299386976386184,-2.0,-0.858619141650736,-1.5086754496910089,-1.7425152770413355
3,0.6671293638464637,0.6671293638464637,2.3385473937084362,-0.1652937058199777,0.5164296463097098,-1.9970320878944605,-0.28068794505302885,-0.694615145296013,-0.7908029091982689
4,0.8575015905749923,0.8575015905749923,2.6338831820437756,-1.0833079211875236,0.7990616668604114,-2.0,0.284498900121386,0.5038321102672048,0.8890998805494741
5,0.7568611222015459,0.7568611222015459,2.3704310786527585,0.8411238197108872,-0.30612110486787225,-2.0,0.10127899661212503,-0.4782571468369148,-0.7607606417638697
6,0.7327296634087275,0.7327296634087275,2.4798408674321872,0.3182615503810555,0.8676327666507455,-2.0,-0.9958317046641183,0.05283364451393746,-0.5486907303417596
7,0.7530024505747879,0.7530024505747879,2.449097354936146,-0.7279277060962446,-0.46535570297109263,-2.0,-0.7566047343530344,-0.7009641552683747,-0.43340709194524507
8,0.7590414420508855,0.7590414420508855,2.620286883149748,0.2491341141011385,1.030897528383719,-2.0,0.18191844940914503,-1.3062626499225622,-0.04085824704829322
9,0.7221360988738752,0.7221360988738752,2.5735760463002775,-0.41049156621627136,0.6136624619097404,-1.995718534809575,0.3799398411275998,0.045942309986614305,-1.3960126339304058
10,0.2352142790436096,0.2352142790436096,1.348387281093604,-0.17611057131232277,0.49174879756204737,-0.7869357910995021,-0.15857588479389184,-0.47856617375733634,-0.8196807996818198
11,0.1549758290186477,0.1549758290186477,1.1184416454101322,-0.19401631924920992,0.49474854120390166,0.020255898004441608,-0.13248301726538703,-0.4700024388149493,-0.8541831883557629
12,0.5725042566333325,0.5725042566333325,1.9431555996397034,-0.9442878915144179,0.23438632004940096,0.38812114955285937,0.6440044370221298,-1.2009644703310476,-0.9063893835941224
13,0.30161683051841115,0.30161683051841115,1.52957394965824,0.345491715133472,0.6872491458534902,0.19718320087525543,-0.6973661082774807,0.09164808767137878,-1.101962103756557
14,0.18662789994930062,0.18662789994930062,1.1215304557741423,-0.07295443938974899,0.6467828179839854,0.0775365476520431,-0.640755382325167,-0.625575693007917,-0.16203664857115907
15,0.5267292687319135,0.5267292687319135,1.614128356389839,-0.1293256200225219,1.4903242510969883,0.12168057040525948,-0.0233415665754102,-0.3042797930698409,-0.5095897164236984
