iteration,loss,pure_loss,dist,x,y
0,1788.5622111509147,1788.520978727158,4.811646723543894,1.2553300705386121,5.804867401632373
1,1064505.9988009254,1064506.0671632125,10.614507817044789,9.920616032189928,-4.752424341470382
2,1788.4919465797655,1788.5218080442799,4.811647020323347,1.2553298039532281,5.804867712996868
3,1788.730242427132,1788.5226488285537,4.811647336439208,1.2553295396330055,5.804868043604666
4,1788.6062877737525,1788.5234967076303,4.811647648922275,1.2553292706209485,5.804868370823849
5,1788.2975064980947,1788.5243444294058,4.811647961202364,1.2553290016021776,5.804868697840108
6,1788.5402270312543,1788.5251998770666,4.811648275327963,1.2553287297407882,5.8048690268555205
7,1788.4877226252067,1788.5260482612814,4.811648589693358,1.2553284612312234,5.804869355932935
8,1788.4427111439443,1788.5269061556514,4.811648905481123,1.2553281888907062,5.804869686638284
9,1788.63885503702,1788.5277643519053,4.811649229216616,1.2553279195160618,5.804870025144952
10,1788.5530714438064,1788.5286289695282,4.811649542711925,1.255327643178778,5.804870353766962
11,1788.468548167452,1788.5295051253224,4.81164986249501,1.2553273639759537,5.804870688837873
12,1788.646112436159,1788.5303640455415,4.8116501880456,1.2553270949766038,5.804871029142204
13,1788.43746273662,1788.5312486651549,4.81165050929148,1.2553268124412913,5.804871365855025
14,1788.7063247648914,1788.5321325500813,4.811650835752114,1.2553265322822433,5.804871707663665
15,1788.6040535705138,1788.5330201306965,4.811651162377133,1.2553262504827662,5.804872049724075
16,1788.647852992433,1788.5339126588085,4.8116514918879005,1.2553259675286537,5.804872394735641
17,1788.5301317797807,1788.5348159553257,4.811651826015785,1.2553256814113638,5.804872744538908
18,1788.6658573945629,1788.5357182845883,4.81165215786248,1.255325394849029,5.804873092081397
19,1788.595680742638,1788.5366280186406,4.811652494066656,1.2553251065735935,5.8048734440785275
20,1788.8633318667949,1788.5375461564088,4.811652832837034,1.2553248154244558,5.804873798798166
21,1788.5797747753081,1788.5384690228404,4.81165317380664,1.2553245229534102,5.80487415579036
22,1788.6134602892246,1788.5394026882254,4.811653520612802,1.2553242277815242,5.804874518770843
23,1788.676353351317,1788.540335726996,4.811653863759801,1.2553239314691087,5.8048748781475865
24,1788.585510529823,1788.5412792076593,4.811654211919082,1.2553236322985173,5.804875242695541
25,1788.4671175640333,1788.5422384798414,4.811654564598119,1.255323327609739,5.804875612062835
26,1788.4780467858563,1788.5431999474147,4.811654919264631,1.2553230226848333,5.804875983432934
27,1788.7178961847874,1788.5441696963248,4.811655277045006,1.2553227151566455,5.8048763580596
28,1788.3570917454217,1788.5451496982548,4.811655637724874,1.2553224040319604,5.80487673578094
29,1788.5008058957626,1788.5461313872427,4.8116560017899515,1.2553220934517073,5.804877116863313
30,1788.5103799727128,1788.5471305388949,4.811656369550006,1.2553217762602014,5.8048775019971615
31,1788.4621584549766,1788.5481356497505,4.8116567404838975,1.2553214575599645,5.804877890389472
32,1788.574925835565,1788.5491508568327,4.811657115013741,1.255321135607657,5.804878282555592
33,1788.6447161450262,1788.5501814683594,4.811657496286373,1.2553208091842363,5.804878681711575
34,1788.6043442501416,1788.551211129571,4.811657875217674,1.2553204822844668,5.804879078548209
35,1788.525943497024,1788.5522442074544,4.811658256477492,1.255320154718488,5.8048794777520225
36,1788.4701026298421,1788.5533200837401,4.811658651461085,1.2553198127729832,5.80487989146304
37,1788.336719998352,1788.5543815785077,4.81165904502891,1.2553194769080651,5.804880303433158
38,1788.5791418906138,1788.5554615808117,4.811659443495776,1.2553191344203611,5.804880720661119
39,1788.6861950585699,1788.5565563601847,4.8116598408697095,1.2553187846895852,5.804881137179457
