iteration,loss,pure_loss,dist,x,y
0,1788.520978727158,1788.520978727158,4.811646723543894,1.2553300705386121,5.804867401632373
1,1064506.0671632125,1064506.0671632125,10.614507817044789,9.920616032189928,-4.752424341470382
2,353319.18217636907,353319.18217636907,9.7078355206186,8.183301346085312,7.530103541806451
3,69370.39109749428,69370.39109749428,4.228128922944021,5.2281286438090255,0.9984636284897368
4,3789.9754983298435,3789.9754983298435,5.111861067810866,-3.1764329558544904,3.9476314799942287
5,604493.3674928079,604493.3674928079,7.876240538028298,8.876135866072568,1.0406058129533786
6,20087.388872948646,20087.388872948646,6.843246199317071,-3.1142704910932677,-4.468344984598787
7,1154.8576083714684,1154.8576083714684,3.5859710086943606,-0.8307055812619506,4.083456688512552
8,168.9532009236937,168.9532009236937,4.325027600305147,2.518089069424148,5.049848061433444
9,6276.813965201453,6276.813965201453,4.926698689401717,-3.3501350974685153,3.3127223374035175
10,2796.8906862164763,2796.8906862164763,2.3339686670244393,2.050160246850047,-1.0843639784326746
11,104631.24705854761,104631.24705854761,4.925961813979934,5.625867661636537,-0.6930588205416264
12,136968.07330593516,136968.07330593516,5.726881879812126,5.92280654857635,-1.9262863411864313
13,50287.1130884236,50287.1130884236,4.251439862518041,4.600041942339228,-1.2615125288191136
14,2481.4907707791504,2481.4907707791504,4.103811830294244,0.21902014284864268,5.0288139695432506
15,1436.4647477085393,1436.4647477085393,6.191649180582902,3.248440938715259,6.768971565237791
16,18504.63593770328,18504.63593770328,8.063034372199542,4.666823675262787,8.18101158763886
17,227700.54001210048,227700.54001210048,6.3856325844181585,7.111017385357572,2.8525037163364715
18,86192.71396427554,86192.71396427554,5.1511391198940695,5.236983708547735,-1.9295397737535733
19,12222.83994434912,12222.83994434912,4.504433169551616,-3.247970047503828,-0.49822183086055105
20,1763.1545019605064,1763.1545019605064,8.216177636985105,2.2198854950083824,9.125112574085499
21,263.8114517967474,263.8114517967474,3.0447900771760676,2.316143622181703,3.7456351869577045
22,4278.444841496043,4278.444841496043,4.994945005356488,3.448218862876505,5.3538144202516715
23,1020.6434000039873,1020.6434000039873,3.906663620754886,1.3039237614200907,4.894823615129951
24,1068.4482861487704,1068.4482861487704,4.004044509817589,1.3127262995742477,4.991813459839397
25,1030.3394600455324,1030.3394600455324,3.930049228873974,1.3070177433002952,4.918038673452791
26,1245.002707792915,1245.002707792915,3.9585439579542983,1.193895367952611,4.953792464627222
27,1157.640121989034,1157.640121989034,3.7241838994928154,1.148410590838301,4.721225606405575
28,1150.614822491059,1150.614822491059,3.7718861887752624,1.1729834661847347,4.767917480718001
29,1106.049154517567,1106.049154517567,4.009559674766589,1.2935220595842871,4.998801518711794
30,1080.4753727312936,1080.4753727312936,3.640864365330046,1.1619982639238016,4.637258567824926
31,1314.7344598547159,1314.7344598547159,3.8802540782338273,1.1191590023078755,4.878424015475776
32,1175.5137253126911,1175.5137253126911,3.8852209248558487,1.2047028980069854,4.879824526764745
33,1264.8928111438233,1264.8928111438233,3.715791324891125,1.0763281672849851,4.7150072921886785
34,1228.5663102248948,1228.5663102248948,3.668895778775214,1.0784134101846092,4.668057738452028
35,1255.2699153560814,1255.2699153560814,3.6152472317177615,1.0354209885505847,4.615073706027726
36,1320.8972585680992,1320.8972585680992,3.7474836223632053,1.0548324801921423,4.747082451587692
37,1235.4668122966527,1235.4668122966527,3.6126292589459035,1.04756790392201,4.612316079346947
38,1213.6357631105843,1213.6357631105843,3.300924321473846,0.9032114443654873,4.2995050161495065
39,1128.1887848214212,1128.1887848214212,3.165864822132585,0.8974218937833189,4.164202554221456
