iteration,loss,pure_loss,dist,x,y
0,-0.22575320181539557,-0.2650082867644831,0.44156367145634046,-0.49786797178455533,0.8812979737686328
1,135.56112707263162,135.4575983386697,3.12685503777048,2.9682464128759714,-1.933979824392102
2,-0.07317594664112204,-0.23982589026798318,0.44407784932244687,-0.4974647110996857,0.8887096805484003
3,-0.42425777387205715,-0.3935113200918168,0.4322557370451249,-0.5074491911843615,0.8240189181040312
4,-0.43905021240352043,-0.4281551823152171,0.4332057172409454,-0.5174210660839105,0.781935541329839
5,-0.5272767421343917,-0.42618752756753997,0.4357725409698305,-0.521382205436058,0.7728868759702379
6,-0.2372440823009037,-0.28309304830907367,0.4969592512607278,-0.5864312224461554,0.7306534291828584
7,-0.7771324852316305,-0.6327879542260781,0.3412742136380411,-0.4255345567292701,0.7738404793585407
8,-0.8732725172969625,-0.7860621947633464,0.26221550686317574,-0.34730141512198287,0.7620974064945671
9,-0.8447558046444636,-0.8504157520433766,0.22256127020018635,-0.30737657974455157,0.7594396300133033
10,-0.9700505352693136,-0.850872901705585,0.22221357827438246,-0.30697788559305206,0.7596387114920922
11,-0.8935150442134717,-0.9160559418626,0.1473008184362188,-0.20652685070969623,0.8024463879929304
12,-1.0299491450523026,-0.9514862848104879,0.14729048724366967,-0.23578786290199272,0.7321456265641855
13,-0.9314910581982798,-0.9771840791589279,0.11833921276482225,-0.2077590414433157,0.7031219295438365
14,162.90474482683484,162.89999999999998,3.347276923112278,3.0,2.0
15,107.01085673145987,107.06279190106537,2.9417342858177884,-3.0,1.142177197201963
16,-0.7764441073214804,-0.8139791166889399,0.22355555658033263,-0.30114509482369556,0.6397279355863619
17,60.85357730911842,60.831590666850445,2.6389810758296837,-2.213854131719255,-2.0
18,-0.7776481771756149,-1.0218473855689305,0.05078410035218699,-0.14030505488985945,0.7179164160064166
19,0.8632317968774689,0.8871321411867281,0.8216355789040065,-0.5080396340958728,-0.14897530534491765
20,-0.48213494226096704,-0.4975029638236229,0.3668496305703533,-0.24837951394352142,-0.5704266276740673
21,-0.0703609103965958,-0.05497196462863485,0.5117799039607887,-0.421927738047879,-0.7052930026334059
22,-0.40000166389696723,-0.4498895456385479,0.3029222514290296,-0.16230792634840885,-0.8805389290281962
23,10.53260623495279,10.402499103168655,0.815515911658491,-0.2219975753387482,-1.4661572136082683
24,-0.9141344942487228,-0.9791317293423869,0.11575830010976064,-0.025778741309203212,-0.706154955261467
25,-0.908476572856437,-0.9147487053566783,0.13313784627861802,0.07355461242895345,-0.5804569960445298
26,-1.0802630229315202,-1.0288908828632708,0.018424226469067464,0.09332730390566679,-0.6945165753204612
27,-1.0169012883942548,-1.0232326344087324,0.04552064910539439,0.13495253469295942,-0.7068226212018305
28,-1.0999529914750452,-1.0149386619878065,0.06124962342969865,0.14855642921967593,-0.6953026477276694
29,-1.018827906972067,-0.9805045796819549,0.11005578224146778,0.19704232158354973,-0.6878743116141961
30,-1.2280671253053765,-1.0300970469529613,0.018929673723239056,0.10689941826249161,-0.7207204952036594
31,-0.862653502583115,-0.9218348298133822,0.13447925925710916,0.18459802759738775,-0.8079834636296339
32,0.204424184541794,0.06330735167461077,0.49250571740379134,0.46531292649084843,-0.3939278742756094
33,0.07863494706338818,-0.00097124336466832,0.6559761294931419,0.06444701587953894,0.07501664030727673
34,47.76919754238766,47.749180499456806,1.2938282459353996,-0.21861292629341555,2.0
35,0.4761943502301634,0.5294810088610162,0.6665417772069224,0.4897201065776917,0.38330623019203136
36,-1.0546846855354988,-1.0279951415756534,0.028141712550671428,0.06293269422335568,-0.7209728051206816
37,-0.7060945050450239,-0.6675485723782926,0.2748737456971191,0.051576773093032546,0.4768709519313208
38,2.3526554886790367,2.319201079277369,1.4553193240047222,-1.337044773942004,-0.4261243013867453
39,2.25713598132661,2.2047931564622982,1.2091596604961812,-1.139543549726961,0.11251203613313532
