iteration,loss,pure_loss,dist,x,y,kernel
0,0.0,0.0,45.43427905821769,-16.59559905948518,44.06489868843164,MATERN5_UPD
1,-0.0,-0.0,138.36825307592275,98.9415470958657,-96.6989912196051,MATERN5_UPD
2,0.0,0.0,144.09921725177463,-98.15469737394986,-99.34570431159861,MATERN5_UPD
3,-0.0,-0.0,133.9609095153157,97.30910102243871,98.420161312934,MATERN5_UPD
4,-0.0,-0.0,140.57546058023254,-99.05145038605257,99.6715987223885,MATERN5_UPD
5,-0.0,-0.0,140.92219274781067,99.64037326693676,-99.5572376658848,MATERN5_UPD
6,0.0,0.0,140.1922636224262,-99.74215497385741,98.37186753354376,MATERN5_UPD
7,-0.0,-0.0,139.676553612401,98.70649436047103,-98.72542453446798,MATERN5_UPD
8,0.0,0.0,139.64608489350553,-98.0144466140783,99.41456261796839,MATERN5_UPD
9,-0.0,-0.0,140.49610654062727,99.28727370398192,-99.30431487048632,MATERN5_UPD
10,0.0,0.0,139.75401070373158,-99.03975356385033,98.48390221744688,MATERN5_UPD
11,-0.0,-0.0,141.61706233368471,-97.82282090310434,-96.16389329343924,MATERN5_UPD
12,-0.0,-0.0,135.12557248941195,98.64725970529688,98.73232390719929,MATERN5_UPD
13,-0.0,-0.0,145.26026578226623,-99.71745192959864,-99.42819706330627,MATERN5_UPD
14,-0.0,-0.0,134.39406339482858,97.6780166063682,98.6645156720661,MATERN5_UPD
15,0.0,0.0,139.59084872108738,99.05302651877918,-98.28129381981377,MATERN5_UPD
16,-0.0,-0.0,139.09924834626005,-98.84298502500353,97.7341230469221,MATERN5_UPD
17,0.0,0.0,144.57806940728423,-98.8192969989764,-99.36106650603746,MATERN5_UPD
18,0.0,0.0,136.11018657572967,99.98662757880942,98.78165800286138,MATERN5_UPD
19,-0.0,-0.0,140.6512176170525,99.26877384641196,-99.53425676136173,MATERN5_UPD
20,-0.0,-0.0,140.75501370746014,-99.11310159256325,99.86775968409424,MATERN5_UPD
21,0.0,0.0,143.578307956382,-97.60425809260093,-99.15700984441077,MATERN5_UPD
22,-0.0,-0.0,136.32378118321392,99.8584007829655,99.21464996600344,MATERN5_UPD
23,-0.0,-0.0,145.1257234233825,-99.14912945302223,-99.80540230045433,MATERN5_UPD
24,0.0,0.0,135.1094526706732,99.91065415494958,97.43004866552653,MATERN5_UPD
25,0.0,0.0,140.1378586580021,99.62187488032251,-98.49587371929938,MATERN5_UPD
26,-0.0,-0.0,138.36248963532964,-98.68675813811856,96.81744606911778,MATERN5_UPD
27,-0.0,-0.0,144.94519507331114,-99.73055394368559,-98.96830416992532,MATERN5_UPD
28,-0.0,-0.0,133.88940128673045,98.37540294111514,97.25266083921167,MATERN5_UPD
29,0.0,0.0,139.90882582650912,99.40251366707867,-98.38827797465102,MATERN5_UPD
30,-0.0,-0.0,140.93577981394688,-99.68712473226869,99.52182357541611,MATERN5_UPD
31,0.0,0.0,139.39177884282194,99.135020409092,-97.92932223647819,MATERN5_UPD
32,-0.0,-0.0,145.31605916918423,-99.30853989355917,-99.91532071729212,MATERN5_UPD
33,-0.0,-0.0,136.16770489329122,99.6815336919449,99.17119038375506,MATERN5_UPD
34,0.0,0.0,140.7305095035527,-99.94268658158549,98.94716493252326,MATERN5_UPD
35,-0.0,-0.0,140.38421516457677,99.11910852550437,-99.30861141858654,MATERN5_UPD
36,-0.0,-0.0,140.90874328338782,-99.43266364095051,99.75316483480239,MATERN5_UPD
37,-0.0,-0.0,145.30930092773593,-99.40764750175437,-99.80716294680039,MATERN5_UPD
38,0.0,0.0,135.34573054573113,98.01833492306437,99.66553037522107,MATERN5_UPD
39,0.0,0.0,135.87693483307132,99.99853524405552,98.43731182112606,MATERN5_UPD
