iteration,loss,pure_loss,dist,x,y,kernel
0,56.52874004692152,56.52874004692152,4.636185856794344,1.2553300705386121,10.804867401632373,MATERN3_UPD
1,8.722925034514095,8.722925034514095,2.28194490901788,9.920616032189928,0.24757565852961744,MATERN3_UPD
2,5.470376575851258,5.470376575851258,2.3142593260052204,9.343566043250064,0.16216612761937516,MATERN3_UPD
3,20.556693040687332,20.556693040687332,3.6944455085650127,6.05248643656371,0.0,MATERN3_UPD
4,2.05189345790245,2.05189345790245,0.8166731281616394,9.065252901238491,3.2082770714521556,MATERN3_UPD
5,10.384030721191731,10.384030721191731,3.4811310084719134,10.0,5.908277595788706,MATERN3_UPD
6,1.9770148521496704,1.9770148521496704,0.6701866903704207,10.0,2.818907184498461,MATERN3_UPD
7,308.12909601160663,308.12909601160663,8.453470053001151,-5.0,0.0,MATERN3_UPD
8,145.87219087939556,145.87219087939556,12.538201746997055,10.0,15.0,MATERN3_UPD
9,17.508299515778166,17.508299515778166,3.298378823784713,-5.0,15.0,MATERN3_UPD
10,61.123238059898256,61.123238059898256,3.345575353195638,-1.2006523031642273,15.0,MATERN3_UPD
11,6.838744005501635,6.838744005501635,1.5138123215681338,8.18956576345618,1.599857991654514,MATERN3_UPD
12,38.136709077341244,38.136709077341244,4.082864653193956,6.781158446351991,5.586438390421429,MATERN3_UPD
13,3.0084406509116874,3.0084406509116874,1.6627566956667157,10.0,4.035090311675736,MATERN3_UPD
14,0.713310354154693,0.713310354154693,0.611153108142426,9.546744049366758,3.073859659898887,MATERN3_UPD
15,38.70811456642579,38.70811456642579,1.8676052460487405,-5.0,12.089874394322802,MATERN3_UPD
16,10.40546416352824,10.40546416352824,2.8215844590373673,8.069894816864103,0.0,MATERN3_UPD
17,0.4543118772495589,0.4543118772495589,0.24391716944108738,9.347784641545266,2.243553893261133,MATERN3_UPD
18,0.4617694845528124,0.4617694845528124,0.1639133807319185,9.357658127432957,2.6245401304201,MATERN3_UPD
19,1.0598755618100881,1.0598755618100881,0.8288100758537065,9.405709696415846,1.6464093499454422,MATERN3_UPD
20,0.5706950066807934,0.5706950066807934,0.19781643979496322,9.573394326455713,2.3444430169417614,MATERN3_UPD
21,0.4699211697511778,0.4699211697511778,0.2763166326235428,9.51283283256195,2.73691139750349,MATERN3_UPD
22,0.3984339515369104,0.3984339515369104,0.024870487497269292,9.41825635630953,2.45100034955772,MATERN3_UPD
23,0.7329979357466367,0.7329979357466367,0.5563271819487752,9.209792044936437,1.9618917145936416,MATERN3_UPD
24,0.6244531183397228,0.6244531183397228,0.4414293172692299,9.459822215740301,2.0349637682408543,MATERN3_UPD
25,0.5707380169138059,0.5707380169138059,0.19428507526818176,9.239583761278478,2.4162714410583397,MATERN3_UPD
26,0.572821568529795,0.572821568529795,0.38461131179653385,9.390840991146682,2.85811095630366,MATERN3_UPD
27,0.41459472445474255,0.41459472445474255,0.10256394445938083,9.481223929536803,2.5606355388930986,MATERN3_UPD
28,2.0169773025347233,2.0169773025347233,1.3665370392582457,9.127406742172058,1.1412111766874458,MATERN3_UPD
29,0.41104900758262986,0.41104900758262986,0.12253060057826633,9.412375465818819,2.35309891054704,MATERN3_UPD
30,0.40366746527834607,0.40366746527834607,0.06448594895962466,9.414281888816868,2.538625680937888,MATERN3_UPD
31,1.309776123251991,1.309776123251991,1.0351788725528566,9.567157374087772,3.500340909906395,MATERN3_UPD
32,0.39911682500726897,0.39911682500726897,0.025622996955082744,9.440457746896985,2.4952668750722515,MATERN3_UPD
33,0.40087896638507736,0.40087896638507736,0.05777307099781538,9.408873901452704,2.419459710465984,MATERN3_UPD
34,0.397925750417361,0.397925750417361,0.0060016279813778824,9.427078728594683,2.480543950331203,MATERN3_UPD
35,0.4350970983162874,0.4350970983162874,0.13770639450377653,9.338174594788862,2.367936678197226,MATERN3_UPD
36,0.4426134131409203,0.4426134131409203,0.22614958914479405,9.44805645277668,2.6999485350396712,MATERN3_UPD
37,0.4200053854984418,0.4200053854984418,0.1044755410118607,9.38998818381184,2.573512274342085,MATERN3_UPD
38,0.400257564143752,0.400257564143752,0.05266841662218138,9.436182044376492,2.526419407751589,MATERN3_UPD
39,0.5700086848861012,0.5700086848861012,0.24003848070078837,9.549498548290796,2.269905495126322,MATERN3_UPD
