iteration,loss,pure_loss,dist,x,y,kernel
0,-0.2650082867644831,-0.2650082867644831,0.44156367145634046,-0.49786797178455533,0.8812979737686328,MATERN5_UPD
1,135.4575983386697,135.4575983386697,3.12685503777048,2.9682464128759714,-1.933979824392102,MATERN5_UPD
2,0.7516106165187438,0.7516106165187438,0.4526276850918195,-0.37068138015045804,1.0675330522737396,MATERN5_UPD
3,110.12914576858998,110.12914576858998,2.973041882861164,-3.0,1.3206411147666386,MATERN5_UPD
4,0.12746273127723695,0.12746273127723695,0.5669491104530663,0.47368435381146057,0.6500166407644654,MATERN5_UPD
5,61.657243401715064,61.657243401715064,2.6588211005102864,2.236555708940215,2.0,MATERN5_UPD
6,0.47040728644395857,0.47040728644395857,0.7262651802712544,-0.36714508570315596,-0.1480981835935573,MATERN5_UPD
7,162.89999999999998,162.89999999999998,3.347276923112278,-3.0,-2.0,MATERN5_UPD
8,-0.4672648912825897,-0.4672648912825897,0.34083276142474833,-0.11908943159102936,0.3730280629122986,MATERN5_UPD
9,0.5901913061376496,0.5901913061376496,0.6334870101770497,0.5480946884806892,-0.27525371777795415,MATERN5_UPD
10,0.0781861675789027,0.0781861675789027,0.6883210418030121,0.14653017883593078,-0.02662074127709424,MATERN5_UPD
11,-1.0237153219312725,-1.0237153219312725,0.03549459996011015,0.06265107585333585,-0.7354648757706428,MATERN5_UPD
12,-0.9852252576262773,-0.9852252576262773,0.07187054901590177,-0.07503414038602552,0.7829373670655047,MATERN5_UPD
13,-0.8111384689218958,-0.8111384689218958,0.19125576814699755,0.06805750379403541,-0.5225841251152112,MATERN5_UPD
14,109.57344127418209,109.57344127418209,3.1042511690598356,3.0,0.41341564110175266,MATERN5_UPD
15,47.94030473339433,47.94030473339433,1.288702289224211,-0.03187910349690659,2.0,MATERN5_UPD
16,47.741470112382046,47.741470112382046,1.297760176456867,0.2534542562763291,-2.0,MATERN5_UPD
17,-0.6311452018353696,-0.6311452018353696,0.3415172505790261,0.4253078881505279,-0.7763847115838127,MATERN5_UPD
18,-0.9478263672934946,-0.9478263672934946,0.142529588063468,0.2293251418985358,-0.6834895508152945,MATERN5_UPD
19,-0.7114644748262364,-0.7114644748262364,0.27144260969073886,0.13110804133422516,0.5548637402827268,MATERN5_UPD
20,-0.9453343836881953,-0.9453343836881953,0.15278544443415698,-0.24239674790917753,0.7201910841442967,MATERN5_UPD
21,-0.05010408345017081,-0.05010408345017081,0.5167905169328516,-0.4222234600067969,-0.6425684728540635,MATERN5_UPD
22,1.9572671529732197,1.9572671529732197,1.1604747164914617,-1.1389094772461157,0.21654468819664796,MATERN5_UPD
23,0.2327838255493041,0.2327838255493041,0.5839611605812179,-0.6310826643348966,0.49345686331103433,MATERN5_UPD
24,-0.8353562212877197,-0.8353562212877197,0.1632980882618991,0.18313254086770092,-0.8465973971581908,MATERN5_UPD
25,-0.8448599969223461,-0.8448599969223461,0.1686738654121315,-0.20219950600745662,0.8383665453224727,MATERN5_UPD
26,0.34155543748630757,0.34155543748630757,0.4583942731991874,0.2945508338044478,0.9623994120402148,MATERN5_UPD
27,-1.0243005658778517,-1.0243005658778517,0.039008204525178634,-0.058021800076137,0.689977311612517,MATERN5_UPD
28,-1.0176604135706688,-1.0176604135706688,0.05967164999609584,0.031523825847388665,-0.6997706064293328,MATERN5_UPD
29,-1.0311378089322303,-1.0311378089322303,0.007783752022231615,0.0902028660322256,-0.7203733194005955,MATERN5_UPD
30,-1.0114242252553713,-1.0114242252553713,0.06739312152347332,-0.15440839283442465,0.6934274048697024,MATERN5_UPD
31,-1.0297195944027109,-1.0297195944027109,0.02207705440750041,-0.06822203417832551,0.7079322679693045,MATERN5_UPD
32,-1.0291214689104162,-1.0291214689104162,0.024662546927242356,0.06534341250987907,-0.7157806523350552,MATERN5_UPD
33,-1.0144258968432311,-1.0144258968432311,0.047144701271915106,-0.06464723470849743,0.7524743182538423,MATERN5_UPD
34,-0.8549823573894432,-0.8549823573894432,0.22176850500203327,0.31121574105688854,-0.7251035764110003,MATERN5_UPD
35,-0.9812034834319007,-0.9812034834319007,0.08276180538223654,0.10129893543709301,-0.6306409192710121,MATERN5_UPD
36,-1.0082477188744379,-1.0082477188744379,0.0755858049812767,-0.014608881649334382,0.7203142488839673,MATERN5_UPD
37,-0.9524028962870336,-0.9524028962870336,0.13196119936531592,0.02005872567053313,0.6394917341747242,MATERN5_UPD
38,-0.93955018557761,-0.93955018557761,0.13324496445814604,0.20417741838658365,-0.6442477746033606,MATERN5_UPD
39,-0.9912721143408643,-0.9912721143408643,0.10289663157681478,-0.19268749314082445,0.7112286703344717,MATERN5_UPD
