iteration,loss,pure_loss,dist,x,y,kernel
0,1788.520978727158,1788.520978727158,4.811646723543894,1.2553300705386121,5.804867401632373,RBF_FIX
1,1064506.0671632125,1064506.0671632125,10.614507817044789,9.920616032189928,-4.752424341470382,RBF_FIX
2,353319.18217636907,353319.18217636907,9.7078355206186,8.183301346085312,7.530103541806451,RBF_FIX
3,69370.39109749428,69370.39109749428,4.228128922944021,5.2281286438090255,0.9984636284897368,RBF_FIX
4,3789.9754983298435,3789.9754983298435,5.111861067810866,-3.1764329558544904,3.9476314799942287,RBF_FIX
5,604493.3674928079,604493.3674928079,7.876240538028298,8.876135866072568,1.0406058129533786,RBF_FIX
6,20087.388872948646,20087.388872948646,6.843246199317071,-3.1142704910932677,-4.468344984598787,RBF_FIX
7,1154.8576083714684,1154.8576083714684,3.5859710086943606,-0.8307055812619506,4.083456688512552,RBF_FIX
8,168.9532009236937,168.9532009236937,4.325027600305147,2.518089069424148,5.049848061433444,RBF_FIX
9,6276.813965201453,6276.813965201453,4.926698689401717,-3.3501350974685153,3.3127223374035175,RBF_FIX
10,23077.763587538007,23077.763587538007,10.667754156278919,-5.0,9.82048630965471,RBF_FIX
11,22986.08965208916,22986.08965208916,10.692760198352724,-5.0,9.85071300288718,RBF_FIX
12,22838.510344427526,22838.510344427526,10.73317745904956,-5.0,9.899499894232799,RBF_FIX
13,21525.879247222794,21525.879247222794,10.592117354136787,-4.942448752621003,9.76813850633524,RBF_FIX
14,22390.886042256923,22390.886042256923,10.598112528897822,-4.970699215611073,9.756182961306958,RBF_FIX
15,1436.4647477085393,1436.4647477085393,6.191649180582902,3.248440938715259,6.768971565237791,RBF_FIX
16,22536.0,22536.0,10.816653826391969,-5.0,10.0,RBF_FIX
17,22536.0,22536.0,10.816653826391969,-5.0,10.0,RBF_FIX
18,22194.04834014096,22194.04834014096,10.647023797834594,-4.970055913640491,9.815755676041752,RBF_FIX
19,22518.782395406048,22518.782395406048,10.611295527338878,-4.976216563814344,9.76837660863818,RBF_FIX
20,1763.1545019605064,1763.1545019605064,8.216177636985105,2.2198854950083824,9.125112574085499,RBF_FIX
21,22536.0,22536.0,10.816653826391969,-5.0,10.0,RBF_FIX
22,19552.245088315984,19552.245088315984,10.609578955246542,-4.878781302970681,9.831936141042497,RBF_FIX
23,21160.98622302547,21160.98622302547,10.691652888855058,-4.941974914002858,9.888440561601536,RBF_FIX
24,22358.753274662602,22358.753274662602,10.622402236354167,-4.972452710326166,9.784374644436543,RBF_FIX
25,212686.88378443566,212686.88378443566,6.551924264013067,7.045545525822289,3.525686214986587,RBF_FIX
26,13245.962016042904,13245.962016042904,4.6869564535405335,2.8648964421789263,-3.299967680963851,RBF_FIX
27,66923.14702739858,66923.14702739858,5.003313592416925,4.867482864656031,-2.1742279684446006,RBF_FIX
28,31927.017746460988,31927.017746460988,8.49632604890104,-4.9885018579143585,7.027055817477603,RBF_FIX
29,329.6837071676452,329.6837071676452,9.62977661775467,-3.368153457398658,9.582064616423645,RBF_FIX
30,523555.7836695627,523555.7836695627,10.145086779039874,8.926622701143897,7.331780026813934,RBF_FIX
31,38462.783611055165,38462.783611055165,7.438803745136602,-5.0,5.397249271835557,RBF_FIX
32,38275.83917583952,38275.83917583952,7.453917188885144,-4.998043330194153,5.425421750282208,RBF_FIX
33,839.1986650474,839.1986650474,2.106678613452668,0.10277865505682104,2.9060662733906204,RBF_FIX
34,36161.45885157528,36161.45885157528,7.524860837040428,-4.959902690218707,5.593810024364155,RBF_FIX
35,6499.777561264969,6499.777561264969,1.997863996045608,2.9961503028893732,0.9172684161278886,RBF_FIX
36,43337.9379913562,43337.9379913562,6.79571407445506,-5.0,4.190882288920511,RBF_FIX
37,44604.32651533675,44604.32651533675,6.61365639393132,-4.9912186299655525,3.801026637670967,RBF_FIX
38,21740.626269696026,21740.626269696026,5.210168620378956,-4.099356444292541,2.0688409174585747,RBF_FIX
39,10825.987729659579,10825.987729659579,6.741302211777355,-2.3565016549694757,-4.846285329224141,RBF_FIX
