iteration,loss,pure_loss,dist,x,y,kernel
0,1788.520978727158,1788.520978727158,4.811646723543894,1.2553300705386121,5.804867401632373,RBF_UPD
1,1064506.0671632125,1064506.0671632125,10.614507817044789,9.920616032189928,-4.752424341470382,RBF_UPD
2,353319.18217636907,353319.18217636907,9.7078355206186,8.183301346085312,7.530103541806451,RBF_UPD
3,69370.39109749428,69370.39109749428,4.228128922944021,5.2281286438090255,0.9984636284897368,RBF_UPD
4,3789.9754983298435,3789.9754983298435,5.111861067810866,-3.1764329558544904,3.9476314799942287,RBF_UPD
5,604493.3674928079,604493.3674928079,7.876240538028298,8.876135866072568,1.0406058129533786,RBF_UPD
6,20087.388872948646,20087.388872948646,6.843246199317071,-3.1142704910932677,-4.468344984598787,RBF_UPD
7,1154.8576083714684,1154.8576083714684,3.5859710086943606,-0.8307055812619506,4.083456688512552,RBF_UPD
8,168.9532009236937,168.9532009236937,4.325027600305147,2.518089069424148,5.049848061433444,RBF_UPD
9,6276.813965201453,6276.813965201453,4.926698689401717,-3.3501350974685153,3.3127223374035175,RBF_UPD
10,2796.8906862164763,2796.8906862164763,2.3339686670244393,2.050160246850047,-1.0843639784326746,RBF_UPD
11,487.7696291303629,487.7696291303629,1.5898888346334439,-0.03447409503761367,2.2073151424496427,RBF_UPD
12,494.1199446387356,494.1199446387356,1.6075913551528407,-0.044104906546936995,2.222372655652424,RBF_UPD
13,495.57645858730825,495.57645858730825,1.6223476883294945,-0.06096399464168911,2.2273416084782607,RBF_UPD
14,494.1082052870681,494.1082052870681,1.636194604558191,-0.08239842895064609,2.227007100627583,RBF_UPD
15,490.760452397895,490.760452397895,1.6500416511153075,-0.10664399024633031,2.2239185141450433,RBF_UPD
16,486.1493246755101,486.1493246755101,1.6642672458197425,-0.13249560689411233,2.2195241555106513,RBF_UPD
17,480.666412696935,480.666412696935,1.6789850934649937,-0.15912791748190358,2.214665968483401,RBF_UPD
18,474.57928412167155,474.57928412167155,1.6941743404026273,-0.18596789884389064,2.209837525699416,RBF_UPD
19,468.0794676822825,468.0794676822825,1.7097515266699435,-0.21262143891171714,2.2053213384163906,RBF_UPD
20,461.31027394043264,461.31027394043264,1.7256079431685885,-0.23881759678159575,2.2012717159039408,RBF_UPD
21,454.38060649578796,454.38060649578796,1.7416319964643852,-0.26437637247652823,2.1977622467884084,RBF_UPD
22,447.37545764830026,447.37545764830026,1.7577186576295103,-0.2891800597896612,2.1948178324831,RBF_UPD
23,440.36148803489664,440.36148803489664,1.7737746011169297,-0.31315617858212974,2.1924333047257196,RBF_UPD
24,433.3910910719785,433.3910910719785,1.789719810466275,-0.3362645725838709,2.1905855668672807,RBF_UPD
25,426.50530367507713,426.50530367507713,1.8054878635736082,-0.35848847569168907,2.1892415595346737,RBF_UPD
26,419.7360452615309,419.7360452615309,1.821024704661893,-0.3798275110576439,2.1883631661732883,RBF_UPD
27,413.10777346831117,413.10777346831117,1.83628736731673,-0.4002929444579424,2.1879103354497396,RBF_UPD
28,406.63890690177215,406.63890690177215,1.8512424712047244,-0.4199040089217414,2.1878431262755793,RBF_UPD
29,400.34295792805506,400.34295792805506,1.8658649416382072,-0.43868537566252463,2.1881230450964795,RBF_UPD
30,394.22930104951774,394.22930104951774,1.8801365066609257,-0.4566652601508876,2.188713423642846,RBF_UPD
31,388.30394774245013,388.30394774245013,1.8940447039461956,-0.4738741145733698,2.1895799405408605,RBF_UPD
32,382.5703576795981,382.5703576795981,1.9075818383444134,-0.4903433569460063,2.1906910381742026,RBF_UPD
33,377.0297489023994,377.0297489023994,1.920744144384429,-0.5061048930239558,2.192017667401105,RBF_UPD
34,371.6815341748844,371.6815341748844,1.9335308360733074,-0.5211904144170862,2.1935330817082184,RBF_UPD
35,366.52366098055626,366.52366098055626,1.945943782729831,-0.5356312440257547,2.1952129048486704,RBF_UPD
36,361.5532125604764,361.5532125604764,1.957986853440594,-0.5494576290500657,2.197035326974416,RBF_UPD
37,356.7661894930191,356.7661894930191,1.9696655505391372,-0.5626991246430695,2.198980327953894,RBF_UPD
38,352.1580563882234,352.1580563882234,1.9809865517476173,-0.5753840227824023,2.2010299325857163,RBF_UPD
39,347.7237785822071,347.7237785822071,1.9919574921849363,-0.5875394821292659,2.2031679198484486,RBF_UPD
